id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
asun,Asun,Mini $25 · Each $40 · Small Tray $75 · Medium Tray $150 · Large Tray $400,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/asun.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
beef-suya,Beef Suya,Pack $30 · Small Tray $60 · Medium Tray $120 · Large Tray $250,in stock,new,30.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/beef-suya.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
chicken-suya,Chicken Suya,The Grill · $25,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chicken-suya.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
grilled-chicken-drumsticks,Grilled Chicken Drumsticks,Grilled Chicken Drumsticks - Grilled Chicken Drumsticks - 3pc $10 · Grilled Chicken Drumsticks - Grilled Chicken Drumsticks - 6pc $17.5 · Grilled Chicken Drumsticks - Grilled Chicken Drumsticks - 12pc $30 · Regular $49.99 · Regular $150,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/grilled-chicken-drumsticks.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
grilled-fish,Grilled Fish,Tilapia $20 · Catfish $30 · Croaker $30,in stock,new,20.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/grilled-fish.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
grilled-turkey-wings,Grilled Turkey Wings,Single $10 · 3 pc $25 · 6 pc $40 · 12 pc $75,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/grilled-turkey-wings.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
small-chops-spring-rolls-samosa-puffpuff-chicken,"Small Chops (Spring rolls, Samosa, puffpuff & chicken)",Regular $15 · Half Tray $80 · Full Tray $150,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/small-chops-spring-rolls-samosa-puffpuff-chicken.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
assorted-meat-stew,Assorted Meat Stew,Regular $35 · Each $120,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/assorted-meat-stew.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
ayamase-green-sauce,Ayamase (Green Sauce),Each $35 · Regular $125,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/ayamase-green-sauce.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
beef-stew-hal-tray,Beef Stew — Half Tray,Soups & Stews · $140,in stock,new,140.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/beef-stew-hal-tray.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
