id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
chicken-suya,Chicken Suya,The Grill · $25,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/chicken-suya.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
small-chops-spring-rolls-samosa-puffpuff-chicken,"Small Chops (Spring rolls, Samosa, puffpuff & chicken)",Regular $15 · Half Tray $80 · Full Tray $150,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/small-chops-spring-rolls-samosa-puffpuff-chicken.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
efo-riro-bowl,Efo Riro,Each $35 · Regular $130,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/efo-riro-bowl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
assorted-meat,Assorted Meat,Each $10 · Regular $110,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/assorted-meat.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
fried-rice-24oz,Fried Rice,Pack $18 · Regular $70 · Regular $215,in stock,new,18.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/fried-rice-24oz.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
moi-moi-ekewe,Moi Moi Ekewe,Sides · $7.5,in stock,new,7.50 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/moi-moi-ekewe.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-chicken,Peppered Chicken,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/peppered-chicken.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
potato-wedges,Potato Wedges,Sides · $4.99,in stock,new,4.99 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/potato-wedges.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
butter-chin-chin,Butter Chin Chin,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/butter-chin-chin.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chin-chin-peppered,Chin Chin — Peppered,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/chin-chin-peppered.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
coconut-clusters,Coconut Clusters,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/coconut-clusters.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
mcvities-digestive-biscuits-wheat-the-original-141-oz-400g,McVities Digestive Biscuits Wheat The Original - 14.1 Oz (400g),Snacks · $8,in stock,new,8.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/mcvities-digestive-biscuits-wheat-the-original-141-oz-400g.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
bottled-water,Bottled Water,Drinks · $2,in stock,new,2.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/bottled-water.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
hollandia,Hollandia,315ml $7.5 · 500ml $12.5 · 1 Litre $20,in stock,new,7.50 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/hollandia.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
jekonmo-non-alcoholic-herbal-drink,Jekonmo (Non Alcoholic herbal drink),Drinks · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/jekonmo-non-alcoholic-herbal-drink.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
malta-guinness,Malta Guinness,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/malta-guinness.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
naija-schweppes-bitter-lemon-35cl,Naija Schweppes Bitter Lemon - 35cl,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/naija-schweppes-bitter-lemon-35cl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
schweppes-virgin-mojito,Schweppes Virgin Mojito,Drinks · $7.5,in stock,new,7.50 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/schweppes-virgin-mojito.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
vitamilk-chocolate,Vitamilk Chocolate,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/vitamilk-chocolate.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
zobo,Zobo,Each $5 · Regular $50,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/zobo.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
fried-rice-plantain,Fried Rice & Plantain,Assorted Meat $30 · Grilled Chicken Drum Sticks $30 · Grilled Turkey $30 · Peppered Chicken $30 · Peppered Fish $30 · Peppered Turkey $30 · Plain Fish $30 · Asun $35,in stock,new,30.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/fried-rice-plantain.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
jekomo,Jekomo,Lunchboxes · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/jekomo.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
pounded-yam-efo-riro,Pounded Yam & Efo Riro,Assorted Meat $25 · Beef Only $25 · Chicken $25 · Turkey $25 · Whiting Fish $25 · Goat Meat $30,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/pounded-yam-efo-riro.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
swallow-meals,Swallow Meals,Regular $25 · Swallow Meals $25 · Swallow Meals $27.5 · Swallow Meals $30 · Swallow Meals $32.5 · Swallow Meals $35,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/swallow-meals.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Lunchboxes
chicken-skewers,Chicken skewers,The Grill · $2,in stock,new,2.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/chicken-skewers.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
croaker-yam-plantain,Croaker+Yam+plantain,The Grill · $40,in stock,new,40.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/croaker-yam-plantain.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
